Time resolution is 1 ps
Starting simulation...
Time:             39295000 | TX Debug = 0xzX | XADC Debug = 0xzZ
Time:             39378000 | TX Debug = 0xzX | XADC Debug = 0xzZ
Time:             39712000 | TX Debug = 0xzX | XADC Debug = 0xzZ
Time:             39878000 | TX Debug = 0xzX | XADC Debug = 0xzZ
Time:             39962000 | TX Debug = 0xzX | XADC Debug = 0xzZ
Time:             40045000 | TX Debug = 0xzX | XADC Debug = 0xzZ
Time:             40128000 | TX Debug = 0xzX | XADC Debug = 0xzZ
Time:             40212000 | TX Debug = 0xzX | XADC Debug = 0xzZ
Time:             40378000 | TX Debug = 0xzX | XADC Debug = 0xzZ
Time:             40545000 | TX Debug = 0xzX | XADC Debug = 0xzZ
Time:             40795000 | TX Debug = 0xzX | XADC Debug = 0xzZ
Time:             40962000 | TX Debug = 0xzX | XADC Debug = 0xzZ
Time:             41045000 | TX Debug = 0xzX | XADC Debug = 0xzZ
Time:             41212000 | TX Debug = 0xzX | XADC Debug = 0xzZ
Time:             41462000 | TX Debug = 0xzX | XADC Debug = 0xzZ
Time:             41545000 | TX Debug = 0xzX | XADC Debug = 0xzZ
Time:             41712000 | TX Debug = 0xzX | XADC Debug = 0xzZ
Time:             41962000 | TX Debug = 0xzX | XADC Debug = 0xzZ
Time:             42212000 | TX Debug = 0xzX | XADC Debug = 0xzZ
Time:             42462000 | TX Debug = 0xzX | XADC Debug = 0xzZ
Time:             42795000 | TX Debug = 0xzX | XADC Debug = 0xzZ
Time:             42878000 | TX Debug = 0xzX | XADC Debug = 0xzZ
Time:             43462000 | TX Debug = 0xzX | XADC Debug = 0xzZ
Time:             43545000 | TX Debug = 0xzX | XADC Debug = 0xzZ
Time:             43628000 | TX Debug = 0xzX | XADC Debug = 0xzZ
Time:             43879000 | TX Debug = 0xzX | XADC Debug = 0xzZ
Time:             44629000 | TX Debug = 0xzX | XADC Debug = 0xzZ
Time:             44879000 | TX Debug = 0xzX | XADC Debug = 0xzZ
Time:             44962000 | TX Debug = 0xzX | XADC Debug = 0xzZ
Time:             45212000 | TX Debug = 0xzX | XADC Debug = 0xzZ
Time:             45379000 | TX Debug = 0xzX | XADC Debug = 0xzZ
Time:             45629000 | TX Debug = 0xzX | XADC Debug = 0xzZ
Time:             45795000 | TX Debug = 0xzX | XADC Debug = 0xzZ
Time:             45879000 | TX Debug = 0xzX | XADC Debug = 0xzZ
Time:             45962000 | TX Debug = 0xzX | XADC Debug = 0xzZ
Time:             46045000 | TX Debug = 0xzX | XADC Debug = 0xzZ
Time:             46129000 | TX Debug = 0xzX | XADC Debug = 0xzZ
Time:             46379000 | TX Debug = 0xzX | XADC Debug = 0xzZ
Time:             46629000 | TX Debug = 0xzX | XADC Debug = 0xzZ
Time:             46712000 | TX Debug = 0xzX | XADC Debug = 0xzZ
Time:             46795000 | TX Debug = 0xzX | XADC Debug = 0xzZ
Time:             46879000 | TX Debug = 0xzX | XADC Debug = 0xzZ
Time:             46962000 | TX Debug = 0xzX | XADC Debug = 0xzZ
Time:             47045000 | TX Debug = 0xzX | XADC Debug = 0xzZ
Time:             47212000 | TX Debug = 0xzX | XADC Debug = 0xzZ
Time:             47545000 | TX Debug = 0xzX | XADC Debug = 0xzZ
Time:             47712000 | TX Debug = 0xzX | XADC Debug = 0xzZ
Time:             47879000 | TX Debug = 0xzX | XADC Debug = 0xzZ
Time:             47962000 | TX Debug = 0xzX | XADC Debug = 0xzZ
Time:             48046000 | TX Debug = 0xzX | XADC Debug = 0xzZ
Time:             48129000 | TX Debug = 0xzX | XADC Debug = 0xzZ
Time:             48212000 | TX Debug = 0xzX | XADC Debug = 0xzZ
Time:             48379000 | TX Debug = 0xzX | XADC Debug = 0xzZ
Time:             48462000 | TX Debug = 0xzX | XADC Debug = 0xzZ
Time:             48629000 | TX Debug = 0xzX | XADC Debug = 0xzZ
Time:             48962000 | TX Debug = 0xzX | XADC Debug = 0xzZ
Time:             49379000 | TX Debug = 0xzX | XADC Debug = 0xzZ
Time:             49962000 | TX Debug = 0xzX | XADC Debug = 0xzZ
Time:             50546000 | TX Debug = 0xzX | XADC Debug = 0xzZ
Time:             51046000 | TX Debug = 0xzX | XADC Debug = 0xzZ
Time:             51212000 | TX Debug = 0xzX | XADC Debug = 0xzZ
Time:             51296000 | TX Debug = 0xzX | XADC Debug = 0xzZ
Time:             51379000 | TX Debug = 0xzX | XADC Debug = 0xzZ
Time:             51462000 | TX Debug = 0xzX | XADC Debug = 0xzZ
Time:             51712000 | TX Debug = 0xzX | XADC Debug = 0xzZ
Time:             51962000 | TX Debug = 0xzX | XADC Debug = 0xzZ
Time:             52129000 | TX Debug = 0xzX | XADC Debug = 0xzZ
Time:             52213000 | TX Debug = 0xzX | XADC Debug = 0xzZ
Time:             52296000 | TX Debug = 0xzX | XADC Debug = 0xzZ
Time:             52796000 | TX Debug = 0xzX | XADC Debug = 0xzZ
Time:             52879000 | TX Debug = 0xzX | XADC Debug = 0xzZ
Time:             53046000 | TX Debug = 0xzX | XADC Debug = 0xzZ
Time:             53129000 | TX Debug = 0xzX | XADC Debug = 0xzZ
Time:             53296000 | TX Debug = 0xzX | XADC Debug = 0xzZ
Time:             53546000 | TX Debug = 0xzX | XADC Debug = 0xzZ
Time:             53713000 | TX Debug = 0xzX | XADC Debug = 0xzZ
Time:             54046000 | TX Debug = 0xzX | XADC Debug = 0xzZ
Time:             54129000 | TX Debug = 0xzX | XADC Debug = 0xzZ
Time:             54463000 | TX Debug = 0xzX | XADC Debug = 0xzZ
Time:             54546000 | TX Debug = 0xzX | XADC Debug = 0xzZ
Time:             54629000 | TX Debug = 0xzX | XADC Debug = 0xzZ
Time:             54796000 | TX Debug = 0xzX | XADC Debug = 0xzZ
Time:             54879000 | TX Debug = 0xzX | XADC Debug = 0xzZ
Time:             55046000 | TX Debug = 0xzX | XADC Debug = 0xzZ
Time:             55129000 | TX Debug = 0xzX | XADC Debug = 0xzZ
Time:             55629000 | TX Debug = 0xzX | XADC Debug = 0xzZ
Time:             55796000 | TX Debug = 0xzX | XADC Debug = 0xzZ
Time:             55963000 | TX Debug = 0xzX | XADC Debug = 0xzZ
Time:             56546000 | TX Debug = 0xzX | XADC Debug = 0xzZ
Time:             56630000 | TX Debug = 0xzX | XADC Debug = 0xzZ
Time:             56713000 | TX Debug = 0xzX | XADC Debug = 0xzZ
Time:             56963000 | TX Debug = 0xzX | XADC Debug = 0xzZ
Time:             57130000 | TX Debug = 0xzX | XADC Debug = 0xzZ
Time:             57213000 | TX Debug = 0xzX | XADC Debug = 0xzZ
Time:             57463000 | TX Debug = 0xzX | XADC Debug = 0xzZ
Time:             57796000 | TX Debug = 0xzX | XADC Debug = 0xzZ
Time:             58046000 | TX Debug = 0xzX | XADC Debug = 0xzZ
Time:             58130000 | TX Debug = 0xzX | XADC Debug = 0xzZ
Time:             58213000 | TX Debug = 0xzX | XADC Debug = 0xzZ
Time:             58796000 | TX Debug = 0xzX | XADC Debug = 0xzZ
Time:             58880000 | TX Debug = 0xzX | XADC Debug = 0xzZ
Time:             59046000 | TX Debug = 0xzX | XADC Debug = 0xzZ
Time:             59463000 | TX Debug = 0xzX | XADC Debug = 0xzZ
Time:             59796000 | TX Debug = 0xzX | XADC Debug = 0xzZ
Time:             59963000 | TX Debug = 0xzX | XADC Debug = 0xzZ
Time:             60130000 | TX Debug = 0xzX | XADC Debug = 0xzZ
Time:             60547000 | TX Debug = 0xzX | XADC Debug = 0xzZ
Time:             60797000 | TX Debug = 0xzX | XADC Debug = 0xzZ
Time:             60880000 | TX Debug = 0xzX | XADC Debug = 0xzZ
Time:             60963000 | TX Debug = 0xzX | XADC Debug = 0xzZ
Time:             61047000 | TX Debug = 0xzX | XADC Debug = 0xzZ
Time:             61463000 | TX Debug = 0xzX | XADC Debug = 0xzZ
Time:             61547000 | TX Debug = 0xzX | XADC Debug = 0xzZ
Time:             61630000 | TX Debug = 0xzX | XADC Debug = 0xzZ
Time:             61797000 | TX Debug = 0xzX | XADC Debug = 0xzZ
Time:             61880000 | TX Debug = 0xzX | XADC Debug = 0xzZ
Time:             62047000 | TX Debug = 0xzX | XADC Debug = 0xzZ
Time:             62130000 | TX Debug = 0xzX | XADC Debug = 0xzZ
Time:             62213000 | TX Debug = 0xzX | XADC Debug = 0xzZ
